"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","ST","KRET","KCOV","PRET","PCOV","FGBLK","FGXP","ST GRD","KOFF GRD","PUNT GRD","FGXP","KEY","PEN","TKL","AST","MT"
"","","97151","","348857","","Michael Hayes","west-virginia-mountaineers","W VIRGINIA","S22","K","2024","128","0","72","0","0","0","55","63.8","70.1","","87.8","38","0-0","0","0","1"
"","","97171","","350216","","Alante Brown","michigan-state-spartans","MICH STATE","00","WR","2024","33","22","0","0","11","0","0","69.4","59.2","","","3","0-0","1","0","0"
"","","97189","","324946","","Jamious Griffin","oregon-state-beavers","OREGON ST","08","HB","2024","3","3","0","0","0","0","0","60","58.7","","","0","0-0","0","0","0"
"","","97200","","326126","","Ulysses Bentley IV","mississippi-rebels","OLE MISS","24","HB","2024","18","14","0","4","0","0","0","61.6","55.7","","","0","0-0","0","0","0"
"","","97211","","339456","","Christian Dremel","rutgers-scarlet-knights","RUTGERS","80","WR","2024","116","63","2","48","0","0","0","61.3","53.9","78","","4","0-0","0","0","0"
"","","97213","","340214","","Taylor Morin","wake-forest-demon-deacons","WAKE","02","WR","2024","64","12","1","49","0","0","0","61.2","62.8","67.7","","13","0-0","0","0","0"
"","","97220","","340205","","Anthony Wilson","west-virginia-mountaineers","W VIRGINIA","D12","S","2024","117","0","40","7","4","60","0","68.1","","","","3","0-0","2","0","0"
"","","97225","","325607","","Brandon Crossley","smu-mustangs","SMU","D01","CB","2024","174","0","57","60","1","45","0","44.7","","60","","8","4-0","0","0","0"
"","","97230","","353565","","Marcus Harris","california-golden-bears","CAL","D05","CB","2024","118","0","39","29","4","44","0","64.3","","","","1","0-0","0","0","0"
"","","97237","","340190","","Rod Heard II","notre-dame-fighting-irish","NOTRE DAME","D02","S","2024","133","0","58","51","15","7","0","79.2","","","","9","0-0","3","0","0"
"","","97257","","362556","","Will Goldberg","duke-blue-devils","DUKE","D35","S","2024","39","0","11","27","0","0","0","55.9","","","","3","0-0","0","0","2"
"","","97270","","337576","","Mycah Pittman","utah-utes","UTAH","05","WR","2024","30","2","0","23","0","0","0","61","","68.6","","2","0-0","0","0","0"
"","","97278","","337602","","Javon Harvey","duke-blue-devils","DUKE","07","WR","2024","121","49","24","24","23","0","0","54.4","","","","7","1-0","1","0","1"
"","","97287","","342227","","Trevor Wilson","kansas-jayhawks","KANSAS","07","WR","2024","117","55","1","32","24","0","0","61.2","59.6","68.7","","14","0-0","1","0","0"
"","","97303","","328073","","Enoch Nawahine","byu-cougars","BYU","21","HB","2024","66","25","41","0","0","0","0","61.8","63.5","","","6","0-0","0","0","0"
"","","97305","","325327","","Devyn Ford","notre-dame-fighting-irish","NOTRE DAME","22","HB","2024","119","13","78","5","23","0","0","55.1","42.3","","","10","0-0","1","0","1"
"","","97324","","324802","","Jordan Clark","notre-dame-fighting-irish","NOTRE DAME","D01","CB","2024","6","0","0","4","0","0","0","62.5","","","","2","0-0","0","0","0"
"","","97329","","340200","","Derrick Canteen","cincinnati-bearcats","CINCINNATI","D10","S","2024","77","5","13","10","8","36","0","58.6","","","","1","0-0","1","0","1"
"","","97351","","337955","","Jakeen Harris","north-carolina-tar-heels","N CAROLINA","D02","S","2024","102","0","0","1","44","52","0","71.2","","","","4","0-0","3","0","0"
"","","97353","","337062","","Coco Azema","northwestern-wildcats","NWESTERN","D00","S","2024","101","7","18","18","17","40","0","61","55.7","","","12","0-0","1","0","1"
"","","97379","","330669","","Woodi Washington","oklahoma-sooners","OKLAHOMA","D05","CB","2024","58","3","9","23","2","19","0","68.1","","","","1","0-0","0","0","0"
"","","97397","","348464","","Alex Raynor","kentucky-wildcats","KENTUCKY","S16","K","2024","47","0","0","0","0","0","43","61.2","","","85.1","17","0-0","0","0","0"
"","","97422","","325507","","Dino Tomlin","boston-college-eagles","BOSTON COL","13","WR","2024","63","38","0","18","6","0","0","60.3","","","","2","0-0","0","0","0"
"","","97423","","325175","","Jake Smith","arizona-state-sun-devils","ARIZONA ST","08","WR","2024","60","47","1","2","8","0","0","60.4","55.2","60","","5","0-0","0","0","0"
"","","97424","","350451","","Bryce Kirtz","northwestern-wildcats","NWESTERN","17","WR","2024","4","0","0","4","0","0","0","60","","64","","2","0-0","0","0","0"
"","","97433","","349217","","Trey Sanders","tcu-horned-frogs","TCU","02","HB","2024","71","31","35","5","0","0","0","65.5","","","","5","0-0","1","0","1"
"","","97453","","325760","","Luis Cristobal Jr.","miami-fl-hurricanes","MIAMI FL","52","G","2024","79","0","0","0","0","0","78","65.2","","","","0","0-0","0","0","0"
"","","97473","","325737","","Kerry Martin Jr.","north-carolina-state-wolfpack","NC STATE","D19","S","2024","40","17","7","8","0","7","0","63.2","","","","0","0-0","0","0","0"
"","","97476","","352261","","Derin McCulley","indiana-hoosiers","INDIANA","14","WR","2024","5","0","0","5","0","0","0","62.7","","","","0","0-0","0","0","0"
"","","97539","","325375","","Quincy Riley","louisville-cardinals","LOUISVILLE","D03","CB","2024","59","3","0","21","3","28","0","29.9","","67.3","","8","3-0","0","0","0"
"","","97546","","339967","","Dorian Jones","virginia-cavaliers","VIRGINIA","D11","LB","2024","55","21","6","7","0","17","0","70.7","","","","4","0-0","0","1","0"
"","","97560","","340207","","Thomas Gore","georgia-tech-yellow-jackets","GA TECH","D59","DI","2024","34","23","0","6","0","0","0","60.4","","","","3","0-0","0","0","0"
"","","97566","","348843","","Jeff Clark","arizona-state-sun-devils","ARIZONA ST","D05","DI","2024","28","0","0","6","0","18","0","59.3","","","","0","0-0","0","0","0"
"","","97578","","330389","","Everett Hayes","oregon-state-beavers","OREGON ST","S35","K","2024","108","0","58","1","0","0","48","63.6","90.7","","85.8","57","0-0","0","0","0"
"","","97589","","342298","","Ivan Mora","wake-forest-demon-deacons","WAKE","S36","P","2024","111","0","0","0","52","0","57","63.4","","66.6","","53","1-0","0","0","0"
"","","97620","","325543","","Zakhari Franklin","illinois-fighting-illini","ILLINOIS","04","WR","2024","4","0","0","0","0","0","0","","","","","1","0-0","0","0","0"
"","","97645","","324678","","Jakai Clark","smu-mustangs","SMU","53","C","2024","8","0","0","0","0","0","4","61.4","","","","0","0-0","0","0","0"
"","","97665","","339913","","Dante Cephas","kansas-state-wildcats","KANSAS ST","14","WR","2024","3","0","0","0","0","0","0","","","","","1","0-0","0","0","0"
"","","97675","","339436","","Terry Jones","indiana-hoosiers","INDIANA","D12","CB","2024","145","11","76","33","0","22","0","51.7","","","","14","0-0","3","1","1"
"","","97684","","325722","","Trey Rucker","oklahoma-state-cowboys","OKLA STATE","D09","S","2024","51","0","2","2","0","45","0","60.8","","","","0","0-0","0","0","0"
"","","97686","","327835","","Mehki Miller","cincinnati-bearcats","CINCINNATI","D20","S","2024","49","0","25","13","1","6","0","77.3","","","","4","0-0","2","1","0"
"","","97703","","325245","","M.J. Griffin","louisville-cardinals","LOUISVILLE","D26","S","2024","56","0","1","5","8","39","0","60.7","","","","0","0-0","0","0","0"
"","","97715","","377248","","Dylan Downing","kansas-jayhawks","KANSAS","D32","LB","2024","124","63","29","29","0","1","0","81.1","59.9","","","12","1-0","0","0","1"
"","","97725","","330780","","Wesley Walker","michigan-wolverines","MICHIGAN","D13","S","2024","23","0","0","0","0","23","0","60.3","","","","0","0-0","0","0","0"
"","","97750","","339678","","Marley Cook","miami-fl-hurricanes","MIAMI FL","D57","DI","2024","10","0","0","4","0","6","0","60.7","","","","0","0-0","0","0","0"
